,RMSE,MAE,MAPE (%),SMAPE (%),R2
XGBoost,48.62042090782013,43.48328839789495,8.039739946711109,8.42244420128469,-1.7356118903897029
LSTM,21.347268361455086,16.814401421440966,3.202959511771793,3.154458952530549,0.4726466930179096
SARIMAX,32.60258586608545,28.23284857530793,5.220530821374088,5.387346443687764,-0.23004542233503034
Prophet,25.6529391403772,21.366813650509997,4.100315909423952,4.010725898375013,0.23846246140777383
