region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita,fossil_energy,renewables_energy,nuclear_energy,ln_co2,ln_gdp,ln_population,ln_total_energy,ln_fossil_energy,ln_renewables_energy,ln_nuclear_energy,fossil_share,renewables_share,nuclear_share,co2_per_capita,co2_per_energy
Algeria,1992,4.902583495938518,0.0003796007644024,2.32528086,2.576250843272389,0.0006721919017262,0.0,0.0006721919017262,74.390488044,2.687475377076457,45.703012667,26.0,26628568.0,48003133346.9957,1.0213048928493224e-10,1.841099189388824e-07,4.901911304036791,0.0006721919017262,0.0,4.309328084794715,24.59453212378619,17.09749518240508,1.5897623102413483,1.5896251911104815,-7.304966690162977,,0.9998628902695318,0.00013710973046824574,0.0,2.793634567356382e-06,15.173731993677993
Algeria,1993,4.803771058668614,0.0005061344290627,2.24443788,2.557636206809589,0.0011908374299616,0.0,0.0011908374299616,68.124087913,2.1107678078482515,41.013320105,25.0,27277048.0,49945584452.6506,9.61800950236689e-11,1.7611037157204894e-07,4.802580221238651,0.0011908374299616,0.0,4.221330864460755,24.634199938787187,17.121556173940593,1.5694012466850937,1.5691533195790857,-6.733098496698576,,0.999752103625377,0.00024789637462274184,0.0,2.4974875548483105e-06,14.181376897649423
Algeria,1994,4.647496905022909,0.0005820538013757,2.1319296,2.5144256599937007,0.0005595912278329,0.0,0.0005595912278329,70.374999308,2.150592493381486,43.224406815,25.0,27887279.0,42543176828.9237,1.0924188674747087e-10,1.6665293537684007e-07,4.6469373137950765,0.0005595912278329,0.0,4.253838076626817,24.473785322560275,17.14368119299408,1.5363287746687344,1.5362083604045986,-7.488303991076908,,0.9998795929853707,0.00012040701462933876,0.0,2.5235520219810617e-06,15.142559693141548
Algeria,1995,4.9676899806003,0.0005567478030954,2.421124,2.545357513745277,0.0006517190519274,0.0,0.0006517190519274,72.736848793,1.2844319320923745,46.452416861,25.0,28470191.0,41764291671.7711,1.189458693479533e-10,1.7448741318947596e-07,4.967038261548373,0.0006517190519274,0.0,4.286848117105454,24.45530754515822,17.164368168048014,1.6029549394232039,1.602823739246012,-7.335896990854386,,0.9998688084291749,0.00013119157082516766,0.0,2.5548423188660726e-06,14.641986331081476
Algeria,1996,5.212737145507482,0.0003036807033533,2.47277431065,2.73920192717529,0.0004572269788391,0.0,0.0004572269788391,71.012657374,1.4431295561997366,45.569527818,24.0,29033044.0,46941554225.3581,1.1104739141107372e-10,1.7954497452996945e-07,5.212279918528644,0.0004572269788391,0.0,4.2628581340258345,24.572169137715,17.183945187548133,1.6511050816310329,1.6510173643685435,-7.690330618950145,,0.9999122865845571,8.771341544300849e-05,0.0,2.445925317855062e-06,13.622911608961747
Algeria,1997,5.54187147586969,0.0002783735571797,2.7422203445,2.799120259331658,0.0002524984808514,0.0,0.0002524984808514,67.107992316,1.5370154480326272,42.570976868,23.0,29579301.0,48177612042.1507,1.150300158301971e-10,1.873564042595087e-07,5.541618977388838,0.0002524984808514,0.0,4.2063031474061505,24.598160269645202,17.20258538413607,1.7123322552425495,1.7122866922528108,-8.284105325697057,,0.9999544380482386,4.556195176139036e-05,0.0,2.268748416874354e-06,12.109265364272758
Algeria,1998,5.731968647695262,0.0001391870081685,2.93525036875,2.795852305769237,0.0007267861678562,0.0,0.0007267861678562,70.732529323,1.7045100918305958,44.028019231,25.0,30054133.0,48187781984.4881,1.189506636669937e-10,1.9072147739864138e-07,5.731241861527405,0.0007267861678562,0.0,4.258905570665832,24.598371340071008,17.218510746925688,1.7460590402536988,1.745932237004601,-7.226878253191605,,0.9998732047900943,0.00012679520990548852,0.0,2.353504235939862e-06,12.34000631727818
Algeria,1999,5.926021457954171,2.27762249355e-05,3.24091440715,2.684398434110977,0.0006858404682587,0.0,0.0006858404682587,70.688902551,1.6895217443985149,44.999380807,24.0,30474354.0,48640671734.9711,1.2183264018727664e-10,1.944592970848265e-07,5.925335617485912,0.0006858404682587,0.0,4.258288595249789,24.60772588484965,17.232396035403898,1.7793530701293219,1.7792373297183868,-7.284865510841907,,0.9998842662867279,0.000115733713272019,0.0,2.319619393769594e-06,11.928560004810342
Algeria,2000,6.1223473528024,0.0,3.3129524162,2.8092140930958447,0.0001808435065557,0.0,0.0001808435065557,70.059526819,1.6438877112332413,43.415639108,25.0,30903893.0,54790398570.3282,1.117412450457691e-10,1.9810925933513944e-07,6.122166509295845,0.0001808435065557,0.0,4.249345263807053,24.726780806978912,17.246392720987288,1.8119455773655342,1.8119160386662267,-8.617878505349285,,0.9999704617369557,2.9538263044307992e-05,0.0,2.2670129882665593e-06,11.443245994027347
Algeria,2001,6.086820063043165,0.0,3.1410163946,2.9455716428121126,0.0002320256310526,0.0,0.0002320256310526,70.833440803,1.6712003672664604,43.162240436,26.0,31331221.0,59413400923.6364,1.0244860533849105e-10,1.9427331169261373e-07,6.086588037412112,0.0002320256310526,0.0,4.260331216914034,24.807785642645104,17.260125634400065,1.8061257882145254,1.8060876681368667,-8.368662713725284,,0.9999618806489021,3.811935109785331e-05,0.0,2.2607941389516866e-06,11.63718330250527
Algeria,2002,6.334404716597604,0.0,3.15415039625,3.180063240416149,0.0001910799314551,0.0,0.0001910799314551,72.178921283,1.080030514972979,43.098890768,28.0,31750835.0,61516103406.1688,1.0297148820974239e-10,1.9950356318495572e-07,6.334213636666149,0.0001910799314551,0.0,4.279148054284458,24.84256482148647,17.273429582169754,1.845995841969983,1.8459656761024603,-8.562818728166148,,0.9999698345874627,3.0165412537412783e-05,0.0,2.2732920656417382e-06,11.394744180755383
