Report generated on: 12-07-2025 23:00:32
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","energy consumption per capita (MMBtu/person)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-WORL-MBTUPP.A","    World","66.35043271526622","64.24950729580439","63.034792031237544","62.60160583182004","64.36966336896987","64.92162257990007","65.085888505946","66.05519551256273","67.3637248849608","66.7548239535854","63.94678845035871","62.67282727520881","61.542839255920775","60.77943315617986","60.51135934301851","61.20971581902447","61.95513998843171","61.259755079923636","60.77992354573036","61.07204868014309","62.267244607839146","61.90686859817351","62.48115706094006","63.92207253438427","66.39274937955756","67.66150218865177","68.94484896584189","69.99848877508884","69.92768980430502","68.21106608623528","71.82659173041407","72.65887706366952","73.06718298124854","73.27639361898105","72.90497496412326","72.08142708402787","72.01592076628191","71.86009095131992","72.78901952976071","72.90112725589624","69.02298643855838","71.71722868627","72.18199563983974","73.26746540142507"
"INTL.47-33-AFG-MBTUPP.A","        Afghanistan","1.6419523148536865","2.0835878672485553","2.4491208142216907","3.08842177882219","3.0278360584640804","2.875518655859038","2.9856259694094693","5.072785903368771","9.205554301343682","8.766957703216603","8.553786883542106","3.4840526661269826","2.1088941947644964","1.862202586126143","1.652658541573874","1.3187590893739387","1.2587357262001277","1.1642860978738472","1.096247272849072","1.0550835348290737","0.8963031427073394","0.6138164419942184","0.5312549555617329","0.5956164586750543","0.5382911327374114","0.7010864872913131","0.876468321867757","1.021709576639699","1.9378294222240817","3.1378466661750477","3.889798190869816","4.812402508706226","4.35685512149177","3.4387453481184735","2.7709389847329096","3.121852433279747","2.7606736304352957","3.4913513476294886","4.3175261947222054","4.246373340988263","4.097099825647827","4.0577887625112","3.7928437373204673","3.3796227545124755"
"INTL.47-33-ALB-MBTUPP.A","        Albania","52.138059309750226","50.45675112553183","49.55048926882911","50.539978040399646","49.79107051540391","48.48776123009656","46.12127414806149","44.06712538223232","44.485137251885206","40.8978246839747","29.022243037395082","21.891045823760102","18.920262246096993","15.62159740705027","13.582303061996111","14.985873561709736","14.193828771432374","13.652211299232139","15.820741748965528","12.486045187451188","21.212409555098834","21.782110448490062","24.61382093989638","25.39142186534645","27.54470943770046","27.448529444901144","26.312364401180368","26.121639533996603","27.240837045218058","27.76411732621012","25.873098112945613","28.0893880628684","26.36812185210826","30.932403630446974","30.255116560429336","28.296044670163337","31.510197642219627","34.48386389331253","33.00242377493719","29.446811300799528","25.088832067127367","30.521288967959386","31.211626682601555","27.406610113548496"
"INTL.47-33-DZA-MBTUPP.A","        Algeria","41.86370917352816","34.38181395868282","47.74726053322871","51.99435687308908","52.988056021765615","47.34175788904425","46.80326212593127","48.408833041187314","50.2650950211684","47.40298431846974","47.94873827039155","52.02358426956895","48.83673329313526","43.80177424579669","44.17860189481378","45.24110947719617","43.49319122947357","40.67809637463236","41.57013274540896","40.84506607138555","41.217500451334196","40.69768822619849","41.16665749120337","41.06694438446251","39.6518524810312","44.90739065259147","46.34506977602855","45.28585137068414","48.12644164849819","50.21638161539787","49.0952064771104","52.430336349371174","55.63497569550127","52.99035503698648","58.624055977220955","58.742372153463165","57.136108398634406","56.66443597496054","58.85826182878794","60.3291803076481","56.10099935833515","59.223434052685235","60.8475190049153","61.84304058954604"
"INTL.47-33-ASM-MBTUPP.A","        American Samoa","180.5156037493108","205.52735082045044","276.1121453900709","167.16753405470723","183.03520529173036","164.64715073761988","163.34502298207642","163.1494822999532","152.87225145795279","170.09176081840764","173.41200648404333","168.64615941255008","169.26243983886485","161.03872542140337","153.63438470102696","146.55425539399184","144.09634019294978","144.9373113670524","142.4860385430204","140.28348202548509","135.54077445910642","133.98131637432914","134.85632379823983","133.89539543560113","133.49829275648867","142.09531832376337","145.6165175021571","147.46775464747708","150.1171676059278","151.84368329128662","153.47911874320155","88.08459434095352","88.52707278112779","88.27981223634488","88.15639044153147","88.1231880615505","88.53809277693948","88.61146357397118","88.8590931936226","89.10488870379443","0","0","0","0"
"INTL.47-33-AGO-MBTUPP.A","        Angola","6.721146003790763","6.417087911788974","6.6025029174464","6.8295053819110425","5.906903899867557","7.111660433677606","6.727279041552001","6.716697686753723","6.7149871035452","6.255356822341682","6.415586293845852","6.522132291239468","6.350969258680575","6.006567999138211","5.659350583478595","5.901317064589139","5.4524003745647045","6.004396603116065","5.10643667732572","5.637145926488534","6.459930579890952","6.764591993720694","6.9540478242544115","7.465650719445751","7.841121969892632","6.193058349705884","7.55870370581503","8.569048965722477","9.617631932886514","10.706505843907177","11.18806127800962","11.255748229665029","11.668516454360061","12.18191130807631","12.96817672934786","13.146811726865213","11.365808994697382","9.465602735968615","9.929574544096555","10.023376138498968","7.785115517792593","8.502661157879924","9.259952723505588","9.145704598092342"
"INTL.47-33-ATA-MBTUPP.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.47-33-ATG-MBTUPP.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","90.71108226270374","90.89486609553889","94.63942370691022","93.83078384369034","92.59628263461897","90.6833960312257","95.25633791870503","99.55314486940709","97.77986535080159","98.45304766160471","96.60531949814948","94.9610892406266","97.3048661095685","95.82487123532587","101.44703421954503","105.46164783524218","108.22242546272174","108.64641984147917","110.59704034539226","114.34443931753643","115.2658852759551","118.95744675846167","113.45884421386094","111.79174995154251","113.66445164813845","112.63060121025465","114.25107502934563","115.79209659898771","116.7779247092403","110.39673999471208","109.48135204816312","113.03749662044856","108.64310112721346","112.34509049200311","112.2592552516366","110.11423884047923"
"INTL.47-33-ARG-MBTUPP.A","        Argentina","57.74141280174904","55.32971847265822","56.690173039951944","56.573485824422775","59.296385213729145","56.138068847078635","59.6289215364616","58.818554505255634","58.83565053744938","58.256154945502104","54.57698963676488","56.21767687329133","56.95553411444122","61.628002741631356","59.12113599208553","60.33128526532283","63.27629675968974","64.04580055276152","67.81900236117674","65.59963235633349","69.25000043021126","65.82550426403874","61.32562207622908","67.10304171751855","72.79303693193135","74.82155002045347","77.46984232455145","80.38296699662496","83.29487129912809","79.4286095758895","82.55574609117271","83.79795937714046","84.59622489767325","84.669487386506","84.12656845296078","84.74228305436353","84.17849698318383","79.3945688861291","76.13582158235101","79.81128362560624","70.66960145896667","77.85671022763763","78.99661053235702","78.4960972940015"
