region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita
Algeria,1992,4.902583495938518,0.0003796007644024,2.32528086,2.576250843272389,0.0006721919017262,0.0,0.0006721919017262,74.390488044,2.687475377076457,45.703012667,26.0,26628568.0,48003133346.9957,5.009336740555322,48.83673329313526
Algeria,1993,4.803771058668614,0.0005061344290627,2.24443788,2.557636206809589,0.0011908374299616,0.0,0.0011908374299616,68.124087913,2.1107678078482515,41.013320105,25.0,27277048.0,49945584452.6506,4.701022436371461,43.80177424579669
Algeria,1994,4.647496905022909,0.0005820538013757,2.1319296,2.5144256599937007,0.0005595912278329,0.0,0.0005595912278329,70.374999308,2.150592493381486,43.224406815,25.0,27887279.0,42543176828.9237,4.891561807120128,44.17860189481378
Algeria,1995,4.9676899806003,0.0005567478030954,2.421124,2.545357513745277,0.0006517190519274,0.0,0.0006517190519274,72.736848793,1.2844319320923745,46.452416861,25.0,28470191.0,41764291671.7711,4.926695606508537,45.24110947719617
Algeria,1996,5.212737145507482,0.0003036807033533,2.47277431065,2.73920192717529,0.0004572269788391,0.0,0.0004572269788391,71.012657374,1.4431295561997366,45.569527818,24.0,29033044.0,46941554225.3581,4.6397569952165565,43.49319122947357
Algeria,1997,5.54187147586969,0.0002783735571797,2.7422203445,2.799120259331658,0.0002524984808514,0.0,0.0002524984808514,67.107992316,1.5370154480326272,42.570976868,23.0,29579301.0,48177612042.1507,4.3729919734536375,40.67809637463236
Algeria,1998,5.731968647695262,0.0001391870081685,2.93525036875,2.795852305769237,0.0007267861678562,0.0,0.0007267861678562,70.732529323,1.7045100918305958,44.028019231,25.0,30054133.0,48187781984.4881,4.320292125423012,41.57013274540896
Algeria,1999,5.926021457954171,2.27762249355e-05,3.24091440715,2.684398434110977,0.0006858404682587,0.0,0.0006858404682587,70.688902551,1.6895217443985149,44.999380807,24.0,30474354.0,48640671734.9711,4.170825023581318,40.84506607138555
Algeria,2000,6.1223473528024,0.0,3.3129524162,2.8092140930958447,0.0001808435065557,0.0,0.0001808435065557,70.059526819,1.6438877112332413,43.415639108,25.0,30903893.0,54790398570.3282,4.1683678428883,41.2175004513342
Algeria,2001,6.086820063043165,0.0,3.1410163946,2.9455716428121126,0.0002320256310526,0.0,0.0002320256310526,70.833440803,1.6712003672664604,43.162240436,26.0,31331221.0,59413400923.6364,3.95899089169845,40.69768822619849
Algeria,2002,6.334404716597604,0.0,3.15415039625,3.180063240416149,0.0001910799314551,0.0,0.0001910799314551,72.178921283,1.080030514972979,43.098890768,28.0,31750835.0,61516103406.1688,3.810332705033252,41.16665749120337
Algeria,2003,6.791966347470439,0.0,3.2118604035,3.5792119628625585,0.0008939811078795,0.0,0.0008939811078795,72.47891745,1.147744565526467,43.331172884,28.0,32175818.0,73482264190.9245,3.684409466931884,41.06694438446251
Algeria,2004,6.922112310424839,0.0,3.18997040075,3.731295698549823,0.0008462111250157,0.0,0.0008462111250157,71.878509389,1.1657894477239945,40.712719941,30.0,32628286.0,91913680985.1708,3.4237065472277,39.6518524810312
Algeria,2005,7.41908000950411,0.0,3.551553446175,3.865653297572522,0.0018732657565872,0.0,0.0018732657565872,82.857278684,1.2514522634862215,50.605826421,31.0,33109249.0,107046618669.707,3.823363917238101,44.90739065259147
Algeria,2006,7.316711094484949,0.0,3.470560436,3.845413635892194,0.0007370225927556,0.0,0.0007370225927556,86.028784805,0.970401479617834,54.058383325,31.0,33623506.0,123084258693.01,3.884199750175969,46.34506977602855
Algeria,2007,7.074303090570039,0.0,3.18139676631,3.892142004534218,0.0007643197258206,0.0,0.0007643197258206,87.289444714,1.1245624194500456,52.645867478,33.5190148167424,34189416.0,142482739809.849,3.766245914810558,45.28585137068414
Algeria,2008,7.176599286538058,0.0,3.24432936765,3.9313145192307823,0.0009553996572758,0.0,0.0009553996572758,56.222555406,1.1530319361988526,55.06952347,0.0,34816961.0,180383848331.135,4.029542621130015,48.12644164849819
Algeria,2009,6.94284541327461,0.0,3.12573283953,3.816078694829773,0.0010338789148377,0.0,0.0010338789148377,99.380185852,1.1596179417871089,57.22056791,41.0,35490445.0,150317292079.359,4.089872404251603,50.21638161539787
Algeria,2010,6.926746101147456,0.0,3.1732582833,3.752900588272395,0.0005872295750613,0.0,0.0005872295750613,101.352896736,1.0998774436506722,57.347919292,42.9051,36188236.0,177785053939.531,3.962092017719142,49.0952064771104
Algeria,2011,6.825358598388223,0.0,3.10413743451,3.719524988272395,0.0016961756058278,0.0,0.0016961756058278,112.488751213,1.4079356144051138,65.426772599,45.654043,36903376.0,218331946925.304,4.215327075513229,52.43033634937117
Algeria,2012,6.995648902757569,0.0,3.24241663662,3.751130386891562,0.0021018792460068,0.0,0.0021018792460068,122.016837732,1.3887992445235853,71.324733487,49.303305,37646166.0,227143746075.934,4.44894502579577,55.63497569550127
Algeria,2013,6.508413554001207,0.0,2.98716080544,3.520136978247174,0.0011157703140328,0.0,0.0011157703140328,118.720563943,0.9822674996421996,65.562083443,52.176213,38414171.0,229701430292.157,4.213665495079708,52.99035503698648
Algeria,2014,6.560219309839396,0.0,3.12393982635,3.4354230359394813,0.0008564475499151,0.0,0.0008564475499151,131.695938497,0.8337871136914249,77.813684383,53.048467,39205031.0,238942664192.59,4.569350818435805,58.62405597722096
Algeria,2015,6.694887106865371,0.0,3.1143761712,3.57975685236445,0.0007540833009212,0.0,0.0007540833009212,138.664126646,0.5553737443596439,78.840454902,59.268298,40019529.0,187493855609.345,4.528484219102209,58.742372153463165
Algeria,2016,6.908778514489908,0.0,3.517358922693,3.3902874432030368,0.0011321485938718,0.0,0.0011321485938718,137.171360581,0.377619957632559,79.132962623,57.660778,40850721.0,180763839522.151,4.327700954784605,57.136108398634406
Algeria,2017,6.826684772620875,0.0,3.57322200615,3.251294691677185,0.0021680747936894,0.0,0.0021680747936894,138.224526943,0.9563677169196072,82.131664226,55.136495,41689299.0,189880896903.073,4.313807779663191,56.66443597496054
Algeria,2018,6.750725487591569,0.0,3.608138943414,3.1398097433165293,0.0027768008610395,0.0,0.0027768008610395,146.712172305,0.9568506172156428,89.160554488,56.59476720000001,42505035.0,194554483655.528,4.5046809603280265,58.85826182878794
Algeria,2019,6.470125327717387,0.0,3.339705133368,3.1274413947036668,0.0029787996457206,0.0,0.0029787996457206,150.816901791,1.1626574801131424,92.048394311,57.60585,43294546.0,193459662090.677,4.660977647342062,60.3291803076481
Algeria,2020,5.969425445038682,0.0,3.162318267654,2.8041263304539807,0.0029808469307005,0.0,0.0029808469307005,141.632445576,0.7733028489573591,88.935475727,51.923667,44042091.0,164873415325.201,4.644166521302896,56.10099935833515
Algeria,2021,6.731876772074095,0.0,3.910748883066,2.8183401692938297,0.0027877197142655,0.0,0.0027877197142655,152.125839199,1.1624553632663948,97.386887836,53.576496,44761099.0,186231205262.082,4.79722119389287,59.22343405268524
Algeria,2022,6.724577552543103,0.0,3.78239083398,2.9392407279319133,0.0029459906311893,0.0,0.0029459906311893,158.513159935,0.4996311296072893,101.856747805,56.156781,45477389.0,225638456572.143,4.8316167034622834,60.8475190049153
Algeria,2023,6.818076456564675,0.0,3.934053852858,2.880913095523338,0.0031095081833374,0.0,0.0031095081833374,163.660715479,0.7407287612015503,105.124986718,57.795,46164219.0,247626161016.414,4.789108786752596,61.84304058954604
Australia,1992,7.03736538747174,4.91532635423866,0.868372224265,1.1948578150907008,0.0588089938773787,0.0,0.0588089938773787,272.517534144,143.39929556196287,33.536285558,95.581953024,17478635.0,325525379566.838,6.923990284487367,209.11577324527175
Australia,1993,7.033946709910839,4.925553312771925,0.9320402,1.1131660163292465,0.0631871808096679,0.0,0.0631871808096679,276.818637812,143.17533249835995,34.905293386,98.738011928,17634808.0,312133923552.558,6.817768710303439,212.06905346842012
Australia,1994,7.136111786415841,4.867923919941199,1.00612138354,1.1998470722957322,0.0622194106389097,0.0,0.0622194106389097,281.423610244,142.05879529392337,36.490308118,102.874506832,17805468.0,322806641300.588,6.62019208545477,213.87748728121565
Australia,1995,7.574486246011023,5.248519105375773,1.1149489351,1.1498554387561184,0.0611627667791316,0.0,0.0611627667791316,289.400019886,145.38373861375626,39.15995044,104.856330832,18004882.0,368166023166.023,6.645716308611212,218.55635302942596
Australia,1996,7.752128264995155,5.3374222366495365,1.14878607298,1.2029204003440293,0.0629995550215893,0.0,0.0629995550215893,305.245390588,158.25002321929597,39.302557457,107.692809912,18224767.0,401341880620.728,6.700542290672816,226.3943782466725
Australia,1997,8.198593189194431,5.705907468209194,1.13964090058,1.2859400689828069,0.0671047514224312,0.0,0.0671047514224312,313.354868676,164.61155030215022,39.57978767,109.163530704,18423037.0,435642611296.586,6.5608737316021,229.6517472395039
Australia,1998,8.628481065368005,6.144159355832256,1.18330909879,1.237034181092471,0.0639784296532778,0.0,0.0639784296532778,329.104173031,177.50677948961317,41.474939549,110.122453992,18607584.0,399674421759.479,6.525208880301522,236.6643581560321
Australia,1999,8.718586672779905,6.228669732288132,1.204609729505,1.2172087523169732,0.0680984586698004,0.0,0.0680984586698004,337.320509257,181.0058197597324,42.933256025,113.381433472,18812264.0,389652212056.649,6.409191827394391,240.12064813994496
Australia,2000,9.543591122968737,6.627498468863471,1.250564220815,1.5983694076149872,0.067159025675278,0.0,0.067159025675278,339.399971758,181.0105502959176,45.074426086,113.314995376,19028802.0,416167815092.908,6.271080756401118,239.4095979389043
Australia,2001,9.983990707596393,7.170442350970473,1.278838045485,1.4639962789023946,0.0707140322385252,0.0,0.0707140322385252,343.226802679,180.96498497119325,47.526500428,114.73531728,19274701.0,379629301675.108,6.163328700843213,238.39494104169788
Australia,2002,10.229600822743455,7.40952089435826,1.33252782845,1.416402903633632,0.0711491963015642,0.0,0.0711491963015642,353.274214761,183.62806864266008,52.246946318,117.3991998,19495210.0,395788696012.059,6.127157158206735,244.0417040661547
Australia,2003,9.984287772097757,7.393844208451547,1.3055891933,1.2111981699824863,0.0736562003637238,0.0,0.0736562003637238,351.729505691,177.52250266888132,53.772897606,120.434105416,19720737.0,467739079790.332,5.984222775977846,242.7680932161772
Australia,2004,10.05153865118383,7.612751574227414,1.313499047,1.0504222183834566,0.0748658115729582,0.0,0.0748658115729582,364.075125909,185.51317043628853,55.831994153,122.72996132,19932722.0,614659980082.515,5.945497179749603,248.3935864205955
Australia,2005,10.651382805219647,8.107226710252219,1.3821330432,1.0682013709560778,0.0938216808113521,0.0,0.0938216808113521,369.934069523,188.71193513747008,56.335859162,124.886275224,20176844.0,695692898676.56,5.87478295841394,249.7956595173821
Australia,2006,10.725151028219994,8.200640473547212,1.396590827625,1.0280120849528935,0.0999076420948896,0.0,0.0999076420948896,375.296664484,192.0226588350248,56.288040561,126.985965088,20450966.0,748417562769.636,5.796636886402036,249.36402128261037
Australia,2007,11.261659941124211,8.647165317881532,1.474011548975,1.0401905003925416,0.1002925738751399,0.0,0.1002925738751399,385.301034255,192.5879370756678,62.533598323,130.179498856,20827622.0,855007458585.224,5.729196988430815,252.45666924854007
Australia,2008,11.363394608524157,8.693196848845425,1.516708443425,1.0521188242397423,0.1013704920139881,0.0,0.1013704920139881,384.545755499,188.6968077474577,63.709760512,132.13918724,21249199.0,1056112427190.38,5.596066155105104,247.9223959994687
Australia,2009,11.727648468961991,9.000658537105165,1.574531811825,1.0642934923118863,0.0881646277199419,0.0,0.0881646277199419,396.125168336,195.76788030073735,66.933966315,133.42332172,21691653.0,928762122698.05,5.619020363875141,248.8420348862005
Australia,2010,13.10109995822566,9.954671594154563,1.9611262439579145,1.0850688613366222,0.1002332587765606,0.0,0.1002332587765606,391.728752135,185.6196607474108,67.784887572,138.324203816,22031750.0,1148838233480.72,5.51070950558249,246.1560664938312
Australia,2011,12.619647712017851,9.471213342067172,2.100693204435593,0.9334160262674284,0.114325139247659,0.0,0.114325139247659,389.552897498,177.38380483308427,68.890641809,143.278450856,22340024.0,1398610616772.97,5.411943105306781,244.9096120921701
Australia,2012,12.984303369030355,9.930930249240726,2.012006539664482,0.9219291686767142,0.1194374114484349,0.0,0.1194374114484349,393.234942603,173.91030366178478,71.402492853,147.922146088,22733465.0,1547532281116.4,5.292198761673184,244.2745202140112
Australia,2013,13.99074265157784,10.77381220359591,2.2991114586295085,0.7720488610437904,0.1457701283086323,0.0,0.1457701283086323,385.184224937,161.3637072311084,73.610852522,150.209665184,23128129.0,1577123329410.88,5.142660468888923,238.57644395582315
Australia,2014,14.879852094823145,11.580729081892216,2.3332675575774755,0.8104648530820934,0.1553906022713561,0.0,0.1553906022713561,376.452936341,152.78696082724863,75.23351733,148.432458184,23475686.0,1468265356427.76,4.930664363426184,231.17266050566903
Australia,2015,15.478536423843748,12.094637947186357,2.5031168609610406,0.7327022467436101,0.1480793689527428,0.0,0.1480793689527428,382.012325394,157.999239402613,76.261072999,147.752012992,23815995.0,1351296372254.31,4.854162054596575,229.5463930729052
